primary_type,community_area,count
PUBLIC PEACE VIOLATION,19,1039
ROBBERY,19,4284
SEX OFFENSE,19,660
STALKING,19,55
THEFT,19,24358
WEAPONS VIOLATION,19,1567
ARSON,2,117
ASSAULT,2,4841
BATTERY,2,13699
BURGLARY,2,6257
CONCEALED CARRY LICENSE VIOLATION,2,4
CRIM SEXUAL ASSAULT,2,287
CRIMINAL DAMAGE,2,13083
CRIMINAL SEXUAL ASSAULT,2,53
CRIMINAL TRESPASS,2,1821
DECEPTIVE PRACTICE,2,4738
GAMBLING,2,73
HOMICIDE,2,55
INTERFERENCE WITH PUBLIC OFFICER,2,142
INTIMIDATION,2,46
KIDNAPPING,2,93
LIQUOR LAW VIOLATION,2,220
MOTOR VEHICLE THEFT,2,4214
NARCOTICS,2,4058
NON-CRIMINAL,2,1
NON-CRIMINAL (SUBJECT SPECIFIED),2,1
OBSCENITY,2,21
OFFENSE INVOLVING CHILDREN,2,685
OTHER NARCOTIC VIOLATION,2,1
OTHER OFFENSE,2,6463
PROSTITUTION,2,140
PUBLIC INDECENCY,2,2
PUBLIC PEACE VIOLATION,2,461
ROBBERY,2,2826
SEX OFFENSE,2,416
STALKING,2,59
THEFT,2,21455
WEAPONS VIOLATION,2,529
ARSON,20,168
ASSAULT,20,2644
BATTERY,20,8025
BURGLARY,20,2856
CONCEALED CARRY LICENSE VIOLATION,20,1
CRIM SEXUAL ASSAULT,20,174
CRIMINAL DAMAGE,20,5178
CRIMINAL SEXUAL ASSAULT,20,27
CRIMINAL TRESPASS,20,651
DECEPTIVE PRACTICE,20,1429
GAMBLING,20,10
HOMICIDE,20,48
INTERFERENCE WITH PUBLIC OFFICER,20,128
INTIMIDATION,20,18
KIDNAPPING,20,57
LIQUOR LAW VIOLATION,20,112
MOTOR VEHICLE THEFT,20,2917
NARCOTICS,20,3073
NON-CRIMINAL,20,2
OBSCENITY,20,6
OFFENSE INVOLVING CHILDREN,20,488
OTHER NARCOTIC VIOLATION,20,1
OTHER OFFENSE,20,3302
PROSTITUTION,20,842
PUBLIC PEACE VIOLATION,20,428
ROBBERY,20,1377
SEX OFFENSE,20,222
STALKING,20,21
THEFT,20,6525
WEAPONS VIOLATION,20,661
ARSON,21,162
ASSAULT,21,3732
BATTERY,21,10142
BURGLARY,21,4908
CONCEALED CARRY LICENSE VIOLATION,21,1
CRIM SEXUAL ASSAULT,21,247
CRIMINAL DAMAGE,21,8460
CRIMINAL SEXUAL ASSAULT,21,33
CRIMINAL TRESPASS,21,1234
DECEPTIVE PRACTICE,21,3001
GAMBLING,21,29
HOMICIDE,21,76
INTERFERENCE WITH PUBLIC OFFICER,21,81
INTIMIDATION,21,28
KIDNAPPING,21,61
LIQUOR LAW VIOLATION,21,184
MOTOR VEHICLE THEFT,21,4768
NARCOTICS,21,2740
OBSCENITY,21,12
OFFENSE INVOLVING CHILDREN,21,481
OTHER OFFENSE,21,4037
PROSTITUTION,21,281
PUBLIC INDECENCY,21,1
PUBLIC PEACE VIOLATION,21,392
ROBBERY,21,2619
SEX OFFENSE,21,323
STALKING,21,32
THEFT,21,15370
WEAPONS VIOLATION,21,467
ARSON,22,303
ASSAULT,22,7691
BATTERY,22,21193
BURGLARY,22,10923
CONCEALED CARRY LICENSE VIOLATION,22,4
CRIM SEXUAL ASSAULT,22,508
CRIMINAL DAMAGE,22,17313
CRIMINAL SEXUAL ASSAULT,22,82
CRIMINAL TRESPASS,22,2698
DECEPTIVE PRACTICE,22,6032
GAMBLING,22,30
HOMICIDE,22,139
HUMAN TRAFFICKING,22,1
INTERFERENCE WITH PUBLIC OFFICER,22,194
INTIMIDATION,22,78
KIDNAPPING,22,131
LIQUOR LAW VIOLATION,22,449
MOTOR VEHICLE THEFT,22,8820
NARCOTICS,22,6768
NON - CRIMINAL,22,1
NON-CRIMINAL,22,3
OBSCENITY,22,15
OFFENSE INVOLVING CHILDREN,22,1023
OTHER NARCOTIC VIOLATION,22,4
OTHER OFFENSE,22,7927
PROSTITUTION,22,1559
PUBLIC INDECENCY,22,4
PUBLIC PEACE VIOLATION,22,851
RITUALISM,22,1
ROBBERY,22,5165
SEX OFFENSE,22,642
STALKING,22,88
THEFT,22,41271
WEAPONS VIOLATION,22,1012
ARSON,23,516
ASSAULT,23,13996
BATTERY,23,42756
BURGLARY,23,8859
CONCEALED CARRY LICENSE VIOLATION,23,10
CRIM SEXUAL ASSAULT,23,753
CRIMINAL DAMAGE,23,20129
CRIMINAL SEXUAL ASSAULT,23,109
CRIMINAL TRESPASS,23,3536
DECEPTIVE PRACTICE,23,4827
GAMBLING,23,928
HOMICIDE,23,503
HUMAN TRAFFICKING,23,3
INTERFERENCE WITH PUBLIC OFFICER,23,851
INTIMIDATION,23,86
KIDNAPPING,23,160
LIQUOR LAW VIOLATION,23,304
MOTOR VEHICLE THEFT,23,9773
NARCOTICS,23,49167
NON - CRIMINAL,23,1
NON-CRIMINAL,23,1
NON-CRIMINAL (SUBJECT SPECIFIED),23,2
OBSCENITY,23,15
OFFENSE INVOLVING CHILDREN,23,1631
OTHER NARCOTIC VIOLATION,23,6
OTHER OFFENSE,23,11550
PROSTITUTION,23,3101
PUBLIC INDECENCY,23,2
PUBLIC PEACE VIOLATION,23,1413
ROBBERY,23,8193
SEX OFFENSE,23,656
STALKING,23,92
THEFT,23,28562
WEAPONS VIOLATION,23,3569
ARSON,24,328
ASSAULT,24,9984
BATTERY,24,26647
BURGLARY,24,14955
CONCEALED CARRY LICENSE VIOLATION,24,6
CRIM SEXUAL ASSAULT,24,582
CRIMINAL DAMAGE,24,25777
CRIMINAL SEXUAL ASSAULT,24,113
CRIMINAL TRESPASS,24,4193
DECEPTIVE PRACTICE,24,8697
GAMBLING,24,98
HOMICIDE,24,177
HUMAN TRAFFICKING,24,1
INTERFERENCE WITH PUBLIC OFFICER,24,240
INTIMIDATION,24,111
KIDNAPPING,24,86
LIQUOR LAW VIOLATION,24,675
MOTOR VEHICLE THEFT,24,10883
NARCOTICS,24,9471
NON - CRIMINAL,24,1
NON-CRIMINAL,24,4
OBSCENITY,24,19
OFFENSE INVOLVING CHILDREN,24,780
OTHER NARCOTIC VIOLATION,24,9
OTHER OFFENSE,24,8526
PROSTITUTION,24,2099
PUBLIC INDECENCY,24,5
PUBLIC PEACE VIOLATION,24,1004
ROBBERY,24,7544
SEX OFFENSE,24,792
STALKING,24,107
THEFT,24,65755
WEAPONS VIOLATION,24,1374
ARSON,25,776
ASSAULT,25,27354
BATTERY,25,87578
BURGLARY,25,16676
CONCEALED CARRY LICENSE VIOLATION,25,24
CRIM SEXUAL ASSAULT,25,1704
CRIMINAL DAMAGE,25,38989
CRIMINAL SEXUAL ASSAULT,25,278
CRIMINAL TRESPASS,25,8003
DECEPTIVE PRACTICE,25,12419
GAMBLING,25,2425
HOMICIDE,25,974
HUMAN TRAFFICKING,25,6
INTERFERENCE WITH PUBLIC OFFICER,25,1673
INTIMIDATION,25,170
KIDNAPPING,25,322
LIQUOR LAW VIOLATION,25,575
MOTOR VEHICLE THEFT,25,16888
NARCOTICS,25,92592
NON - CRIMINAL,25,1
NON-CRIMINAL,25,5
OBSCENITY,25,32
OFFENSE INVOLVING CHILDREN,25,2847
OTHER NARCOTIC VIOLATION,25,3
OTHER OFFENSE,25,26241
PROSTITUTION,25,7894
PUBLIC INDECENCY,25,7
PUBLIC PEACE VIOLATION,25,2682
RITUALISM,25,1
ROBBERY,25,18564
SEX OFFENSE,25,1228
STALKING,25,130
THEFT,25,56715
WEAPONS VIOLATION,25,6972
ARSON,26,221
ASSAULT,26,7374
BATTERY,26,25501
BURGLARY,26,3713
CONCEALED CARRY LICENSE VIOLATION,26,17
CRIM SEXUAL ASSAULT,26,433
CRIMINAL DAMAGE,26,10465
CRIMINAL SEXUAL ASSAULT,26,89
CRIMINAL TRESPASS,26,2049
DECEPTIVE PRACTICE,26,4384
GAMBLING,26,456
HOMICIDE,26,367
HUMAN TRAFFICKING,26,3
INTERFERENCE WITH PUBLIC OFFICER,26,641
INTIMIDATION,26,41
KIDNAPPING,26,83
LIQUOR LAW VIOLATION,26,143
MOTOR VEHICLE THEFT,26,4809
NARCOTICS,26,35821
NON - CRIMINAL,26,1
OBSCENITY,26,5
OFFENSE INVOLVING CHILDREN,26,663
OTHER NARCOTIC VIOLATION,26,1
OTHER OFFENSE,26,5542
PROSTITUTION,26,3689
PUBLIC INDECENCY,26,2
PUBLIC PEACE VIOLATION,26,687
RITUALISM,26,1
ROBBERY,26,6051
SEX OFFENSE,26,276
STALKING,26,39
THEFT,26,14175
WEAPONS VIOLATION,26,2555
ARSON,27,176
ASSAULT,27,8928
BATTERY,27,27268
BURGLARY,27,3980
CONCEALED CARRY LICENSE VIOLATION,27,15
CRIM SEXUAL ASSAULT,27,416
CRIMINAL DAMAGE,27,10920
CRIMINAL SEXUAL ASSAULT,27,80
CRIMINAL TRESPASS,27,2514
DECEPTIVE PRACTICE,27,3342
GAMBLING,27,507
HOMICIDE,27,297
INTERFERENCE WITH PUBLIC OFFICER,27,496
INTIMIDATION,27,77
KIDNAPPING,27,81
LIQUOR LAW VIOLATION,27,144
MOTOR VEHICLE THEFT,27,5344
NARCOTICS,27,29526
NON - CRIMINAL,27,1
NON-CRIMINAL (SUBJECT SPECIFIED),27,1
OBSCENITY,27,12
OFFENSE INVOLVING CHILDREN,27,712
OTHER OFFENSE,27,6407
PROSTITUTION,27,3191
PUBLIC INDECENCY,27,2
PUBLIC PEACE VIOLATION,27,785
RITUALISM,27,1
ROBBERY,27,5414
SEX OFFENSE,27,324
STALKING,27,83
THEFT,27,16101
WEAPONS VIOLATION,27,2192
ARSON,28,123
ASSAULT,28,11716
BATTERY,28,29874
BURGLARY,28,6506
CONCEALED CARRY LICENSE VIOLATION,28,18
CRIM SEXUAL ASSAULT,28,657
CRIMINAL DAMAGE,28,19288
